uuid,tstamp,source,date,event_type,event_category,event_action,event_label,event_value,created_at,last_updated_at,location,id
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 20:08:00,ga_pages,2018-03-06,event,app.meetnotes.co,view,/action-items/,89,2018-03-15 13:29:37,2018-03-15 13:29:37,/action-items/,26
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-07 10:36:00,ga_pages,2018-03-07,event,app.meetnotes.co,view,/m/327723f2-7d52-44f3-aa8d-c80b3282ff08/,696,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/327723f2-7d52-44f3-aa8d-c80b3282ff08/,27
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-07 10:47:00,ga_pages,2018-03-07,event,app.meetnotes.co,view,/m/327723f2-7d52-44f3-aa8d-c80b3282ff08/,507,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/327723f2-7d52-44f3-aa8d-c80b3282ff08/,28
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-07 10:56:00,ga_pages,2018-03-07,event,app.meetnotes.co,view,/m/327723f2-7d52-44f3-aa8d-c80b3282ff08/,2,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/327723f2-7d52-44f3-aa8d-c80b3282ff08/,29
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 14:31:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/m/7ce9de7a-89a2-46b3-8ee1-01ff9ecc7776/,30,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/7ce9de7a-89a2-46b3-8ee1-01ff9ecc7776/,30
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 14:32:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/m/7ce9de7a-89a2-46b3-8ee1-01ff9ecc7776/,150,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/7ce9de7a-89a2-46b3-8ee1-01ff9ecc7776/,31
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 14:34:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/m/7ce9de7a-89a2-46b3-8ee1-01ff9ecc7776/,47,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/7ce9de7a-89a2-46b3-8ee1-01ff9ecc7776/,32
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 14:36:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/m/7ce9de7a-89a2-46b3-8ee1-01ff9ecc7776/,155,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/7ce9de7a-89a2-46b3-8ee1-01ff9ecc7776/,33
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 11:45:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/m/7ce9de7a-89a2-46b3-8ee1-01ff9ecc7776/?insta_meeting=true,87,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/7ce9de7a-89a2-46b3-8ee1-01ff9ecc7776/?insta_meeting=true,34
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 10:54:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/m/8462a6b9-69e1-46d5-8104-83987e11d6d9/,3014,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/8462a6b9-69e1-46d5-8104-83987e11d6d9/,35
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 14:26:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/m/8462a6b9-69e1-46d5-8104-83987e11d6d9/,3,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/8462a6b9-69e1-46d5-8104-83987e11d6d9/,36
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-09 10:57:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/m/cb4bae72-9ae6-4f91-bd59-8c49509cb185/,188,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/cb4bae72-9ae6-4f91-bd59-8c49509cb185/,38
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-09 11:00:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/m/cb4bae72-9ae6-4f91-bd59-8c49509cb185/,162,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/cb4bae72-9ae6-4f91-bd59-8c49509cb185/,39
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 10:51:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/settings/account/alias/,98,2018-03-15 13:29:37,2018-03-15 13:29:37,/settings/account/alias/,40
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 10:51:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/settings/account/profile/,16,2018-03-15 13:29:37,2018-03-15 13:29:37,/settings/account/profile/,41
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 14:35:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/settings/account/profile/,17,2018-03-15 13:29:37,2018-03-15 13:29:37,/settings/account/profile/,42
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 10:53:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/settings/teams/general/,79,2018-03-15 13:29:37,2018-03-15 13:29:37,/settings/teams/general/,43
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 10:53:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/settings/teams/members/,4,2018-03-15 13:29:37,2018-03-15 13:29:37,/settings/teams/members/,44
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 14:35:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/settings/teams/members/,9,2018-03-15 13:29:37,2018-03-15 13:29:37,/settings/teams/members/,45
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 10:51:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/signup/,17,2018-03-15 13:29:37,2018-03-15 13:29:37,/signup/,46
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 11:47:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/signup/,27,2018-03-15 13:29:37,2018-03-15 13:29:37,/signup/,47
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 11:56:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/signup/,8950,2018-03-15 13:29:37,2018-03-15 13:29:37,/signup/,48
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 20:05:00,ga_pages,2018-03-06,event,app.meetnotes.co,view,/signup/,3,2018-03-15 13:29:37,2018-03-15 13:29:37,/signup/,49
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-07 10:35:00,ga_pages,2018-03-07,event,app.meetnotes.co,view,/signup/,3,2018-03-15 13:29:37,2018-03-15 13:29:37,/signup/,50
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-07 10:56:00,ga_pages,2018-03-07,event,app.meetnotes.co,view,/signup/,3,2018-03-15 13:29:37,2018-03-15 13:29:37,/signup/,51
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-09 10:57:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/signup/,3,2018-03-15 13:29:37,2018-03-15 13:29:37,/signup/,52
053d73e299094afebb55add33e8707f7,2018-03-01 22:16:00,ga_pages,2018-03-01,event,app.meetnotes.co,view,/onboarding/calendar/,5,2018-03-15 13:29:37,2018-03-15 13:29:37,/onboarding/calendar/,54
053d73e299094afebb55add33e8707f7,2018-03-01 22:16:00,ga_pages,2018-03-01,event,app.meetnotes.co,view,/onboarding/create-team/,16,2018-03-15 13:29:37,2018-03-15 13:29:37,/onboarding/create-team/,55
053d73e299094afebb55add33e8707f7,2018-03-01 22:16:00,ga_pages,2018-03-01,event,app.meetnotes.co,view,/onboarding/slack/,14,2018-03-15 13:29:37,2018-03-15 13:29:37,/onboarding/slack/,56
053d73e299094afebb55add33e8707f7,2018-03-01 22:16:00,ga_pages,2018-03-01,event,app.meetnotes.co,view,/team-invite/,1,2018-03-15 13:29:37,2018-03-15 13:29:37,/team-invite/,57
0549fe29f02748aa9e726e2896d292ed,2018-03-07 20:44:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/,9,2018-03-15 13:29:37,2018-03-15 13:29:37,/,58
0549fe29f02748aa9e726e2896d292ed,2018-03-09 15:03:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/,2803,2018-03-15 13:29:37,2018-03-15 13:29:37,/,59
0549fe29f02748aa9e726e2896d292ed,2018-03-09 15:54:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/,3545,2018-03-15 13:29:37,2018-03-15 13:29:37,/,60
0549fe29f02748aa9e726e2896d292ed,2018-03-09 16:58:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/,35,2018-03-15 13:29:37,2018-03-15 13:29:37,/,61
0549fe29f02748aa9e726e2896d292ed,2018-03-09 17:00:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/,11,2018-03-15 13:29:37,2018-03-15 13:29:37,/,62
0549fe29f02748aa9e726e2896d292ed,2018-03-09 17:01:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/,15,2018-03-15 13:29:37,2018-03-15 13:29:37,/,63
0549fe29f02748aa9e726e2896d292ed,2018-03-09 16:58:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/+share/email,9,2018-03-15 13:29:37,2018-03-15 13:29:37,/+share/email,64
0549fe29f02748aa9e726e2896d292ed,2018-03-09 17:00:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/+share/email,15,2018-03-15 13:29:37,2018-03-15 13:29:37,/+share/email,65
0549fe29f02748aa9e726e2896d292ed,2018-03-09 17:03:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/+share/email,3,2018-03-15 13:29:37,2018-03-15 13:29:37,/+share/email,66
0549fe29f02748aa9e726e2896d292ed,2018-03-07 13:57:00,ga_pages,2018-03-07,event,app.meetnotes.co,view,/login/?next=/m/d0eee3a7-70d0-4d36-ad4a-d08743d91847/,32,2018-03-15 13:29:37,2018-03-15 13:29:37,/login/?next=/m/d0eee3a7-70d0-4d36-ad4a-d08743d91847/,67
0549fe29f02748aa9e726e2896d292ed,2018-03-07 20:44:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/m/4be1940a-1a03-4da6-b40d-43de370dac88/,5,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/4be1940a-1a03-4da6-b40d-43de370dac88/,68
0549fe29f02748aa9e726e2896d292ed,2018-03-09 15:49:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/m/4be1940a-1a03-4da6-b40d-43de370dac88/,279,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/4be1940a-1a03-4da6-b40d-43de370dac88/,69
0549fe29f02748aa9e726e2896d292ed,2018-03-09 17:01:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/m/4ff776c3-ea3c-4728-8e4a-ff1a0e2056ec/,91,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/4ff776c3-ea3c-4728-8e4a-ff1a0e2056ec/,70
0549fe29f02748aa9e726e2896d292ed,2018-03-09 16:59:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/m/a2be4b19-23c7-40a5-8e22-a96f8139b95c/,59,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/a2be4b19-23c7-40a5-8e22-a96f8139b95c/,72
0549fe29f02748aa9e726e2896d292ed,2018-03-09 17:00:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/m/a2be4b19-23c7-40a5-8e22-a96f8139b95c/,59,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/a2be4b19-23c7-40a5-8e22-a96f8139b95c/,73
0549fe29f02748aa9e726e2896d292ed,2018-03-09 16:53:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/m/b2a40e6e-7f64-45a3-99e7-625145c5070c/,276,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/b2a40e6e-7f64-45a3-99e7-625145c5070c/,74
0549fe29f02748aa9e726e2896d292ed,2018-03-09 16:58:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/m/b2a40e6e-7f64-45a3-99e7-625145c5070c/,11,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/b2a40e6e-7f64-45a3-99e7-625145c5070c/,75
0549fe29f02748aa9e726e2896d292ed,2018-03-07 13:57:00,ga_pages,2018-03-07,event,app.meetnotes.co,view,/m/d0eee3a7-70d0-4d36-ad4a-d08743d91847/,4,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/d0eee3a7-70d0-4d36-ad4a-d08743d91847/,76
0549fe29f02748aa9e726e2896d292ed,2018-03-07 20:44:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/onboarding/join-team/,7,2018-03-15 13:29:37,2018-03-15 13:29:37,/onboarding/join-team/,77
05663aeb45ef46daa5736a57407384f8,2018-03-01 20:41:00,ga_pages,2018-03-01,event,app.meetnotes.co,view,/login/?next=/settings/,13,2018-03-15 13:29:37,2018-03-15 13:29:37,/login/?next=/settings/,78
05663aeb45ef46daa5736a57407384f8,2018-03-01 20:42:00,ga_pages,2018-03-01,event,app.meetnotes.co,view,/login/?next=/settings/,84,2018-03-15 13:29:37,2018-03-15 13:29:37,/login/?next=/settings/,79
05663aeb45ef46daa5736a57407384f8,2018-03-01 20:43:00,ga_pages,2018-03-01,event,app.meetnotes.co,view,/settings/account/profile/,14,2018-03-15 13:29:37,2018-03-15 13:29:37,/settings/account/profile/,80
08b42a6cb26146ae9fd354ff3b3a2605,2018-03-08 16:20:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/,3,2018-03-15 13:29:37,2018-03-15 13:29:37,/,88
08b42a6cb26146ae9fd354ff3b3a2605,2018-03-08 16:34:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/,3,2018-03-15 13:29:37,2018-03-15 13:29:37,/,89
08b42a6cb26146ae9fd354ff3b3a2605,2018-03-08 16:35:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/,3,2018-03-15 13:29:37,2018-03-15 13:29:37,/,90
08b42a6cb26146ae9fd354ff3b3a2605,2018-03-08 16:19:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/+createnote,18,2018-03-15 13:29:37,2018-03-15 13:29:37,/+createnote,91
08b42a6cb26146ae9fd354ff3b3a2605,2018-03-08 16:34:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/+createnote,11,2018-03-15 13:29:37,2018-03-15 13:29:37,/+createnote,92
08b42a6cb26146ae9fd354ff3b3a2605,2018-03-08 16:18:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/+skip,2,2018-03-15 13:29:37,2018-03-15 13:29:37,/+skip,93
08b42a6cb26146ae9fd354ff3b3a2605,2018-03-08 16:34:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/+templates/,8,2018-03-15 13:29:37,2018-03-15 13:29:37,/+templates/,94
08b42a6cb26146ae9fd354ff3b3a2605,2018-03-08 16:18:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/?onboarding=true,6,2018-03-15 13:29:37,2018-03-15 13:29:37,/?onboarding=true,95
08b42a6cb26146ae9fd354ff3b3a2605,2018-03-08 16:19:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/?onboarding=true,3,2018-03-15 13:29:37,2018-03-15 13:29:37,/?onboarding=true,96
08b42a6cb26146ae9fd354ff3b3a2605,2018-03-08 16:20:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/m/14b8f359-b681-4378-a31c-0cce41bf46f6/,857,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/14b8f359-b681-4378-a31c-0cce41bf46f6/,97
08b42a6cb26146ae9fd354ff3b3a2605,2018-03-08 16:19:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/m/14b8f359-b681-4378-a31c-0cce41bf46f6/?insta_meeting=true,38,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/14b8f359-b681-4378-a31c-0cce41bf46f6/?insta_meeting=true,98
08b42a6cb26146ae9fd354ff3b3a2605,2018-03-08 16:35:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/m/1ccf4ed7-ce68-49c0-ba9f-e578e271a5b8/,1,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/1ccf4ed7-ce68-49c0-ba9f-e578e271a5b8/,99
08b42a6cb26146ae9fd354ff3b3a2605,2018-03-08 16:34:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/m/1ccf4ed7-ce68-49c0-ba9f-e578e271a5b8/?insta_meeting=true,17,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/1ccf4ed7-ce68-49c0-ba9f-e578e271a5b8/?insta_meeting=true,100
08b42a6cb26146ae9fd354ff3b3a2605,2018-03-08 16:35:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/m/1ccf4ed7-ce68-49c0-ba9f-e578e271a5b8/?insta_meeting=true,20,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/1ccf4ed7-ce68-49c0-ba9f-e578e271a5b8/?insta_meeting=true,101
08b42a6cb26146ae9fd354ff3b3a2605,2018-03-08 16:18:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/onboarding/calendar/,3,2018-03-15 13:29:37,2018-03-15 13:29:37,/onboarding/calendar/,102
08b42a6cb26146ae9fd354ff3b3a2605,2018-03-08 16:18:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/onboarding/create-team/,22,2018-03-15 13:29:37,2018-03-15 13:29:37,/onboarding/create-team/,103
08b42a6cb26146ae9fd354ff3b3a2605,2018-03-08 16:18:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/onboarding/slack/,19,2018-03-15 13:29:37,2018-03-15 13:29:37,/onboarding/slack/,104
08b42a6cb26146ae9fd354ff3b3a2605,2018-03-08 16:18:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/team-invite/,4,2018-03-15 13:29:37,2018-03-15 13:29:37,/team-invite/,105
0b9e30cae15d4268a330ca3262a2e4e8,2018-03-07 10:05:00,ga_pages,2018-03-07,event,app.meetnotes.co,view,/login/?next=/m/0d5d6c16-b7c4-4596-9a3f-f7b733150b5d/,13,2018-03-15 13:29:37,2018-03-15 13:29:37,/login/?next=/m/0d5d6c16-b7c4-4596-9a3f-f7b733150b5d/,120
0b9e30cae15d4268a330ca3262a2e4e8,2018-03-07 10:05:00,ga_pages,2018-03-07,event,app.meetnotes.co,view,/m/0d5d6c16-b7c4-4596-9a3f-f7b733150b5d/,57,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/0d5d6c16-b7c4-4596-9a3f-f7b733150b5d/,121
0b9e30cae15d4268a330ca3262a2e4e8,2018-03-07 10:06:00,ga_pages,2018-03-07,event,app.meetnotes.co,view,/m/0d5d6c16-b7c4-4596-9a3f-f7b733150b5d/,3,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/0d5d6c16-b7c4-4596-9a3f-f7b733150b5d/,122
0bc97cfa4fa44e7a9e252511b2363b7f,2018-03-06 10:41:00,ga_pages,2018-03-06,event,app.meetnotes.co,view,/,7,2018-03-15 13:29:37,2018-03-15 13:29:37,/,123
0bc97cfa4fa44e7a9e252511b2363b7f,2018-03-06 10:52:00,ga_pages,2018-03-06,event,app.meetnotes.co,view,/,4,2018-03-15 13:29:37,2018-03-15 13:29:37,/,124
0bc97cfa4fa44e7a9e252511b2363b7f,2018-03-06 10:53:00,ga_pages,2018-03-06,event,app.meetnotes.co,view,/,73,2018-03-15 13:29:37,2018-03-15 13:29:37,/,125
0bc97cfa4fa44e7a9e252511b2363b7f,2018-03-06 10:55:00,ga_pages,2018-03-06,event,app.meetnotes.co,view,/,47,2018-03-15 13:29:37,2018-03-15 13:29:37,/,126
0bc97cfa4fa44e7a9e252511b2363b7f,2018-03-06 11:03:00,ga_pages,2018-03-06,event,app.meetnotes.co,view,/,21,2018-03-15 13:29:37,2018-03-15 13:29:37,/,127
0bc97cfa4fa44e7a9e252511b2363b7f,2018-03-06 11:04:00,ga_pages,2018-03-06,event,app.meetnotes.co,view,/,23,2018-03-15 13:29:37,2018-03-15 13:29:37,/,128
0bc97cfa4fa44e7a9e252511b2363b7f,2018-03-06 11:05:00,ga_pages,2018-03-06,event,app.meetnotes.co,view,/,23,2018-03-15 13:29:37,2018-03-15 13:29:37,/,129
0bc97cfa4fa44e7a9e252511b2363b7f,2018-03-06 11:45:00,ga_pages,2018-03-06,event,app.meetnotes.co,view,/,5,2018-03-15 13:29:37,2018-03-15 13:29:37,/,130
0bc97cfa4fa44e7a9e252511b2363b7f,2018-03-06 16:05:00,ga_pages,2018-03-06,event,app.meetnotes.co,view,/,46,2018-03-15 13:29:37,2018-03-15 13:29:37,/,131
0bc97cfa4fa44e7a9e252511b2363b7f,2018-03-07 10:04:00,ga_pages,2018-03-07,event,app.meetnotes.co,view,/,12,2018-03-15 13:29:37,2018-03-15 13:29:37,/,132
0bc97cfa4fa44e7a9e252511b2363b7f,2018-03-07 10:05:00,ga_pages,2018-03-07,event,app.meetnotes.co,view,/,8,2018-03-15 13:29:37,2018-03-15 13:29:37,/,133
0bc97cfa4fa44e7a9e252511b2363b7f,2018-03-07 10:06:00,ga_pages,2018-03-07,event,app.meetnotes.co,view,/,8,2018-03-15 13:29:37,2018-03-15 13:29:37,/,134
0bc97cfa4fa44e7a9e252511b2363b7f,2018-03-07 10:11:00,ga_pages,2018-03-07,event,app.meetnotes.co,view,/,1708,2018-03-15 13:29:37,2018-03-15 13:29:37,/,135
0bc97cfa4fa44e7a9e252511b2363b7f,2018-03-08 09:28:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/,1661,2018-03-15 13:29:37,2018-03-15 13:29:37,/,136
0bc97cfa4fa44e7a9e252511b2363b7f,2018-03-08 10:04:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/,14,2018-03-15 13:29:37,2018-03-15 13:29:37,/,137
0bc97cfa4fa44e7a9e252511b2363b7f,2018-03-08 10:17:00,ga_pages,2018-03-08,event,app.meetnotes.co,view,/,513,2018-03-15 13:29:37,2018-03-15 13:29:37,/,138
0bc97cfa4fa44e7a9e252511b2363b7f,2018-03-09 10:05:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/,170,2018-03-15 13:29:37,2018-03-15 13:29:37,/,139
0bc97cfa4fa44e7a9e252511b2363b7f,2018-03-09 10:08:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/,179,2018-03-15 13:29:37,2018-03-15 13:29:37,/,140
0bc97cfa4fa44e7a9e252511b2363b7f,2018-03-09 10:11:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/,17,2018-03-15 13:29:37,2018-03-15 13:29:37,/,141
0bc97cfa4fa44e7a9e252511b2363b7f,2018-03-09 10:19:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/,427,2018-03-15 13:29:37,2018-03-15 13:29:37,/,142
